time,weather_temperature_2m,weather_precipitation_mm,weather_wind_speed_10m,weather_relative_humidity_2m,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,movement_date
2025-09-11 04:00:00,18.5,0.0,3.8,94,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-11
2025-09-11 05:00:00,18.6,0.0,2.4,93,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-11
2025-09-11 06:00:00,18.8,0.0,2.3,94,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-11
2025-09-11 07:00:00,19.1,0.0,2.3,94,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-11
2025-09-11 08:00:00,19.9,0.0,3.2,93,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-11
2025-09-11 09:00:00,21.0,0.0,6.7,88,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-11
2025-09-11 10:00:00,21.5,0.2,7.6,86,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-11
2025-09-11 11:00:00,21.5,0.6,7.6,88,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-11
2025-09-11 12:00:00,21.5,1.1,6.5,91,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-11
2025-09-11 13:00:00,23.9,0.9,7.4,73,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-11
2025-09-11 14:00:00,24.3,0.6,5.6,76,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-11
2025-09-11 15:00:00,24.5,0.3,6.7,73,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-11
2025-09-11 16:00:00,24.2,0.7,9.0,75,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-11
2025-09-11 17:00:00,23.1,1.3,10.0,78,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-11
2025-09-11 18:00:00,22.4,1.0,9.7,85,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-11
2025-09-11 19:00:00,22.0,0.0,6.5,86,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-11
2025-09-11 20:00:00,21.0,0.0,5.0,91,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-11
2025-09-11 21:00:00,20.4,0.0,5.3,95,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-11
2025-09-11 22:00:00,20.1,0.0,3.6,96,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-11
2025-09-11 23:00:00,19.5,0.0,2.4,97,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-11
2025-09-12 00:00:00,19.2,0.0,1.5,97,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-12 01:00:00,18.7,0.0,1.5,98,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-12 02:00:00,18.4,0.0,2.4,99,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-12 03:00:00,18.4,0.0,2.2,99,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-12 04:00:00,18.2,0.0,2.3,99,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-12 05:00:00,18.0,0.0,1.0,99,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-12 06:00:00,17.6,0.0,0.6,99,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-12 07:00:00,17.2,0.0,1.8,99,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-12 08:00:00,17.6,0.0,3.1,99,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-12 09:00:00,19.2,0.0,4.5,99,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-12 10:00:00,21.4,0.0,4.8,87,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-12 11:00:00,22.6,0.0,5.5,77,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-12 12:00:00,23.5,0.1,3.0,72,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-12 13:00:00,24.2,0.0,3.2,68,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-12 14:00:00,24.2,0.1,4.9,69,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-12 15:00:00,24.1,0.3,5.9,70,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-12 16:00:00,24.0,0.1,8.8,69,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-12 17:00:00,24.0,0.0,8.0,67,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-12 18:00:00,23.5,0.0,7.7,67,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-12 19:00:00,22.6,0.0,7.2,72,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-12 20:00:00,21.1,0.0,5.8,81,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-12 21:00:00,20.3,0.0,4.7,87,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-12 22:00:00,19.5,0.0,2.9,91,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-12 23:00:00,19.4,0.0,0.8,90,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-12
2025-09-13 00:00:00,19.0,0.0,0.0,91,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
2025-09-13 01:00:00,18.5,0.0,0.2,93,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
2025-09-13 02:00:00,18.3,0.0,0.4,94,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
2025-09-13 03:00:00,17.9,0.0,0.7,97,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
2025-09-13 04:00:00,17.4,0.0,0.8,99,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
2025-09-13 05:00:00,17.2,0.0,0.6,98,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
2025-09-13 06:00:00,17.0,0.0,0.4,99,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
2025-09-13 07:00:00,16.8,0.0,0.5,98,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-13
