time_bucket,movement_date,granularity_level,geography_key,total_incoming,record_count
2025-09-24T12:00:00,2025-09-24,DAILY,3719,452.46306000000027,622
2025-09-24T07:00:00,2025-09-24,HOURLY,3652,4866.99425999995,6188
2025-05-07T19:00:00,2025-05-07,,232824,2356.0,31
2025-04-25T09:00:00,2025-04-25,,232809,1536.0,24
2025-09-30T21:00:00,2025-09-30,HOURLY,3735,3361.0610200000156,2447
2025-05-10T09:00:00,2025-05-10,,232824,1891.0,31
2025-09-24T07:00:00,2025-09-24,HOURLY,3642,763.8729099999965,1019
2025-10-04T23:00:00,2025-10-04,HOURLY,3748,823.427699999998,1092
2025-10-05T14:00:00,2025-10-05,HOURLY,3718,439.54878000000036,453
2025-10-09T19:00:00,2025-10-09,HOURLY,3668,3926.5329200000465,6662
2025-10-02,2025-10-02,DAILY,3649,4491.108520000024,17088
2025-10-05T11:00:00,2025-10-05,HOURLY,3717,1407.2199799999985,772
2025-10-09T09:00:00,2025-10-09,DAILY,3630,1338.2481600000006,7410
2025-10-05T02:00:00,2025-10-05,HOURLY,3709,385.7986099999992,1952
2025-10-03T09:00:00,2025-10-03,DAILY,3638,1305.747659999999,3809
2025-10-09,2025-10-09,DAILY,3737,3206.985150000011,9786
2025-09-25T09:00:00,2025-09-25,HOURLY,3665,467.62734000000063,5391
2025-10-02T20:00:00,2025-10-02,DAILY,3627,72.71302000000014,2055
2025-10-09T23:00:00,2025-10-09,HOURLY,3652,9495.184139999848,11224
2025-10-07T06:00:00,2025-10-07,HOURLY,3740,1118.987019999997,3946
2025-10-04T21:00:00,2025-10-04,HOURLY,3734,809.7043599999979,2609
2025-09-09T20:00:00,2025-09-09,,232823,1147.0,31
2025-10-01T06:00:00,2025-10-01,HOURLY,3617,803.6324399999996,1177
2025-10-01T08:00:00,2025-10-01,HOURLY,3640,941.1172499999972,2409
2025-10-08T18:00:00,2025-10-08,HOURLY,3690,1660.1088599999975,5118
2025-09-30T19:00:00,2025-09-30,HOURLY,3766,1499.582459999996,2778
2025-10-07T18:00:00,2025-10-07,HOURLY,3667,9571.339770000028,17109
2025-10-16T18:00:00,2025-10-16,,232823,1890.0,30
2025-10-02T12:00:00,2025-10-02,HOURLY,3731,196.31817000000063,955
2025-10-06T16:00:00,2025-10-06,HOURLY,3696,6913.283319999998,7823
2025-10-08T21:00:00,2025-10-08,HOURLY,3663,1477.021159999996,9850
